25660063_202602221517461671
Number,Start Time,End Time,Duration,1.Current Role,2.Development Experience,3.Work Domain / Area of Expertise,4.AI IDE Usage: GitHub Copilot,4.AI IDE Usage: Cursor,4.AI IDE Usage: Trae,4.AI IDE Usage: Other,4.AI IDE Usage: None / Not Familiar,5.Frequency of AI IDE Usage,6.Frequency of NES Feature Usage,7.Level of Dependence on NES Features,8.Code Review Behavior,9.Motivations for Accepting Suggestions: The code follows proper formatting and style (looks clean and well-structured).,9.Motivations for Accepting Suggestions: The suggested code is long (too cumbersome to write manually).,9.Motivations for Accepting Suggestions: The surrounding code contains test cases (creating a false sense of security).,"9.Motivations for Accepting Suggestions: I am writing non-critical code (e.g., test scripts).",10.Insecure Code Suggestions,11.Test Data in Production Environment,12.Behavior After Accepting Suggestions,13.Attention Check,,,,,,,,,,,,,,,,,
385,02-Feb-2026 15:48:32,02-Feb-2026 15:49:39,67,1,2,2,,1,,,,3,3,1,2,1,1,,1,2,2,3,3,,,,,,,,,,,,,,,,,
384,02-Feb-2026 15:49:06,02-Feb-2026 15:49:39,33,1,3,1,1,1,,,,2,2,2,1,,1,1,,2,2,3,3,,,,,,,,,,,,,,,,,
382,02-Feb-2026 15:48:12,02-Feb-2026 15:49:33,81,1,1,2,,1,,,,3,3,1,3,,,1,,2,2,1,1,,,,,,,,,,,,,,,,,
383,02-Feb-2026 15:48:37,02-Feb-2026 15:49:33,56,4,1,5,,,,1,1,3,3,1,4,,,,1,3,2,2,3,,,,,,,,,,,,,,,,,
381,02-Feb-2026 15:47:55,02-Feb-2026 15:49:32,97,4,1,5,,,,1,,3,4,1,2,1,,,,2,3,3,3,,,,,,,,,,,,,,,,,
379,02-Feb-2026 15:48:11,02-Feb-2026 15:49:26,75,1,3,1,,,1,1,,1,1,3,2,1,,,,2,2,5,1,,,,,,,,,,,,,,,,,
380,02-Feb-2026 15:47:47,02-Feb-2026 15:49:26,99,1,2,2,1,1,,,,1,2,1,3,,1,,1,1,1,5,3,,,,,,,,,,,,,,,,,
378,02-Feb-2026 15:48:05,02-Feb-2026 15:49:21,76,4,2,3,,1,,,,2,2,3,5,,,1,,2,1,5,3,,,,,,,,,,,,,,,,,
377,02-Feb-2026 15:48:28,02-Feb-2026 15:49:17,49,1,1,2,1,1,,,,3,3,2,2,,1,,,1,2,3,2,,,,,,,,,,,,,,,,,
376,02-Feb-2026 15:48:08,02-Feb-2026 15:49:16,68,4,1,1,,1,1,,,3,3,2,2,1,,,1,2,2,3,3,,,,,,,,,,,,,,,,,
375,02-Feb-2026 15:48:07,02-Feb-2026 15:49:12,65,1,3,1,,,,1,,3,3,1,3,1,1,1,,2,2,4,3,,,,,,,,,,,,,,,,,
374,02-Feb-2026 15:48:11,02-Feb-2026 15:49:08,57,4,1,2,1,,,,,2,3,2,2,1,,,,1,2,3,2,,,,,,,,,,,,,,,,,
373,02-Feb-2026 15:48:11,02-Feb-2026 15:48:58,47,4,1,2,,,,1,,3,3,1,4,1,,,,2,1,1,1,,,,,,,,,,,,,,,,,
372,02-Feb-2026 15:48:05,02-Feb-2026 15:48:49,44,1,2,1,1,1,,,,2,4,1,2,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,
371,02-Feb-2026 15:47:57,02-Feb-2026 15:48:47,50,1,2,2,1,1,,,,1,3,1,3,1,1,,,3,1,3,1,,,,,,,,,,,,,,,,,
370,02-Feb-2026 15:47:22,02-Feb-2026 15:48:45,83,1,3,1,1,1,,,,2,2,2,1,,1,,1,2,2,4,3,,,,,,,,,,,,,,,,,
369,02-Feb-2026 15:47:56,02-Feb-2026 15:48:36,40,1,2,1,,1,,,,1,2,2,2,1,,,1,3,3,3,3,,,,,,,,,,,,,,,,,
368,02-Feb-2026 15:47:16,02-Feb-2026 15:48:34,78,4,1,5,,,,1,,3,3,2,3,,,1,,2,2,3,2,,,,,,,,,,,,,,,,,
367,02-Feb-2026 15:48:06,02-Feb-2026 15:48:31,25,4,1,1,1,,,,,4,3,1,4,,,,1,3,3,1,2,,,,,,,,,,,,,,,,,
366,02-Feb-2026 15:47:41,02-Feb-2026 15:48:26,45,1,2,1,1,1,,1,,1,1,1,1,1,,,,2,2,3,2,,,,,,,,,,,,,,,,,
365,02-Feb-2026 15:47:34,02-Feb-2026 15:48:25,51,4,1,5,,,,1,,3,3,1,1,1,,,,1,1,3,2,,,,,,,,,,,,,,,,,
364,02-Feb-2026 15:47:00,02-Feb-2026 15:48:22,82,1,1,1,,1,1,,,2,2,3,4,1,,1,,3,3,5,3,,,,,,,,,,,,,,,,,
363,02-Feb-2026 15:47:39,02-Feb-2026 15:48:16,37,1,1,1,,1,1,,,2,3,1,3,1,,,,1,2,5,1,,,,,,,,,,,,,,,,,
362,02-Feb-2026 15:47:19,02-Feb-2026 15:48:15,56,4,1,3,,1,,,,2,3,3,2,1,,1,,2,1,5,3,,,,,,,,,,,,,,,,,
361,02-Feb-2026 15:46:58,02-Feb-2026 15:48:03,65,1,2,1,1,,,,,2,2,2,1,1,,,,2,2,3,1,,,,,,,,,,,,,,,,,
360,02-Feb-2026 15:47:06,02-Feb-2026 15:47:59,53,1,3,1,1,,,,,1,1,2,3,1,,,,2,3,4,2,,,,,,,,,,,,,,,,,
359,02-Feb-2026 15:45:16,02-Feb-2026 15:47:44,148,1,2,3,,,1,,,2,2,2,2,,,,1,2,3,3,3,,,,,,,,,,,,,,,,,
